Command,Name,Description,Operations,Data type,Units,Min,Max,Internal,Sensor name,Datamodel,Mapping,Template
r_52_msd0,Moisture With Salinity Depth 0 (ENVIROPRO120),Moisture With Salinity Depth 0,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd1,Moisture With Salinity Depth 1 (ENVIROPRO120),Moisture With Salinity Depth 1,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd2,Moisture With Salinity Depth 2 (ENVIROPRO120),Moisture With Salinity Depth 2,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd3,Moisture With Salinity Depth 3 (ENVIROPRO120),Moisture With Salinity Depth 3,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd4,Moisture With Salinity Depth 4 (ENVIROPRO120),Moisture With Salinity Depth 4,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd5,Moisture With Salinity Depth 5 (ENVIROPRO120),Moisture With Salinity Depth 5,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd6,Moisture With Salinity Depth 6 (ENVIROPRO120),Moisture With Salinity Depth 6,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd7,Moisture With Salinity Depth 7 (ENVIROPRO120),Moisture With Salinity Depth 7,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd8,Moisture With Salinity Depth 8 (ENVIROPRO120),Moisture With Salinity Depth 8,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd9,Moisture With Salinity Depth 9 (ENVIROPRO120),Moisture With Salinity Depth 9,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd10,Moisture With Salinity Depth 10 (ENVIROPRO120),Moisture With Salinity Depth 10,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_msd11,Moisture With Salinity Depth 11 (ENVIROPRO120),Moisture With Salinity Depth 11,r,float,%,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_sd0,Salinity Depth 0 (ENVIROPRO120),Salinity Depth 0,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd1,Salinity Depth 1 (ENVIROPRO120),Salinity Depth 1,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd2,Salinity Depth 2 (ENVIROPRO120),Salinity Depth 2,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd3,Salinity Depth 3 (ENVIROPRO120),Salinity Depth 3,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd4,Salinity Depth 4 (ENVIROPRO120),Salinity Depth 4,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd5,Salinity Depth 5 (ENVIROPRO120),Salinity Depth 5,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd6,Salinity Depth 6 (ENVIROPRO120),Salinity Depth 6,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd7,Salinity Depth 7 (ENVIROPRO120),Salinity Depth 7,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd8,Salinity Depth 8 (ENVIROPRO120),Salinity Depth 8,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd9,Salinity Depth 9 (ENVIROPRO120),Salinity Depth 9,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd10,Salinity Depth 10 (ENVIROPRO120),Salinity Depth 10,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_sd11,Salinity Depth 11  (ENVIROPRO120),Salinity Depth 11,r,float,ds/m,N/A,N/A,No,ENVIROPRO120,,,No
r_52_td0,Temperature depth 0 (ENVIROPRO120),Temperature depth 0,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td1,Temperature depth 1 (ENVIROPRO120),Temperature depth 1,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td2,Temperature depth 2 (ENVIROPRO120),Temperature depth 2,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
r_52_td3,Temperature depth 3 (ENVIROPRO120),Temperature depth 3,r,float,celsius,N/A,N/A,No,ENVIROPRO120,,,Yes
